1880.000000000	0.15	-0.44
1880.083333000	0.12	-0.34
1880.166667000	0.18	-0.33
1880.250000000	0.34	-0.38
1880.333333000	0.46	-0.48
1880.416667000	0.47	-0.54
1880.500000000	0.32	-0.50
1880.583333000	0.12	-0.43
1880.666667000	0.02	-0.32
1880.750000000	0.00	-0.12
1880.833333000	0.03	0.07
1880.916667000	0.07	0.17
1881.000000000	0.10	0.19
1881.083333000	0.12	0.22
1881.166667000	0.12	0.33
1881.250000000	0.18	0.41
1881.333333000	0.33	0.35
1881.416667000	0.39	0.15
1881.500000000	0.35	-0.03
1881.583333000	0.38	-0.07
1881.666667000	0.29	-0.13
1881.750000000	-0.05	-0.22
1881.833333000	-0.25	-0.25
1881.916667000	-0.20	-0.23
1882.000000000	-0.09	-0.25
1882.083333000	-0.13	-0.31
1882.166667000	-0.23	-0.19
1882.250000000	-0.24	0.05
1882.333333000	-0.18	0.11
1882.416667000	-0.13	-0.02
1882.500000000	-0.15	-0.08
1882.583333000	-0.22	-0.12
1882.666667000	-0.27	-0.29
1882.750000000	-0.37	-0.47
1882.833333000	-0.49	-0.58
1882.916667000	-0.50	-0.49
1883.000000000	-0.47	-0.24
1883.083333000	-0.46	-0.12
1883.166667000	-0.41	-0.14
1883.250000000	-0.32	-0.18
1883.333333000	-0.23	-0.24
1883.416667000	-0.20	-0.22
1883.500000000	-0.20	-0.15
1883.583333000	-0.12	-0.15
1883.666667000	-0.01	-0.13
1883.750000000	0.00	-0.04
1883.833333000	-0.07	0.02
1883.916667000	-0.10	0.02
1884.000000000	-0.02	0.09
1884.083333000	0.06	0.18
1884.166667000	0.00	0.24
1884.250000000	-0.18	0.37
1884.333333000	-0.33	0.38
1884.416667000	-0.36	0.18
1884.500000000	-0.25	0.15
1884.583333000	-0.02	0.19
1884.666667000	0.21	0.14
1884.750000000	0.23	0.06
1884.833333000	0.10	0.02
1884.916667000	0.00	0.01
1885.000000000	-0.03	0.01
1885.083333000	-0.06	0.09
1885.166667000	-0.08	0.15
1885.250000000	-0.13	0.23
1885.333333000	-0.16	0.35
1885.416667000	-0.05	0.27
1885.500000000	0.13	0.19
1885.583333000	0.18	0.30
1885.666667000	-0.03	0.44
1885.750000000	-0.36	0.56
1885.833333000	-0.51	0.58
1885.916667000	-0.47	0.51
1886.000000000	-0.34	0.37
1886.083333000	-0.18	0.31
1886.166667000	-0.03	0.30
1886.250000000	0.04	0.07
1886.333333000	-0.05	-0.31
1886.416667000	-0.20	-0.58
1886.500000000	-0.34	-0.73
1886.583333000	-0.48	-0.81
1886.666667000	-0.57	-0.84
1886.750000000	-0.60	-0.84
1886.833333000	-0.65	-0.93
1886.916667000	-0.67	-0.93
1887.000000000	-0.65	-0.65
1887.083333000	-0.60	-0.47
1887.166667000	-0.58	-0.60
1887.250000000	-0.60	-0.79
1887.333333000	-0.62	-0.76
1887.416667000	-0.63	-0.55
1887.500000000	-0.57	-0.39
1887.583333000	-0.36	-0.36
1887.666667000	-0.08	-0.31
1887.750000000	0.12	-0.17
1887.833333000	0.15	-0.04
1887.916667000	0.13	-0.05
1888.000000000	0.17	0.03
1888.083333000	0.30	0.27
1888.166667000	0.41	0.39
1888.250000000	0.49	0.34
1888.333333000	0.57	0.25
1888.416667000	0.58	0.22
1888.500000000	0.57	0.31
1888.583333000	0.61	0.29
1888.666667000	0.56	0.31
1888.750000000	0.42	0.79
1888.833333000	0.35	1.14
1888.916667000	0.36	1.04
1889.000000000	0.33	0.91
1889.083333000	0.22	0.77
