 1.96200547580006E+03, -1.34751483326888E-01,  2.44972417926145E-02
 1.96200821370009E+03, -1.59288924072223E-01,  2.11163894484765E-02
 1.96201095160012E+03, -1.36945847397302E-01,  1.80815384159835E-02
 1.96201368950015E+03, -6.65702343962814E-02,  1.48423524222478E-02
 1.96201642740018E+03,  4.41971536356467E-02,  1.06508696260308E-02
 1.96201916530022E+03,  1.74840571924359E-01,  5.20896642557392E-03
 1.96202190320025E+03,  2.89353581801017E-01, -9.61624609983576E-04
 1.96202464110028E+03,  3.45272839032461E-01, -6.74018025785580E-03
 1.96202737900031E+03,  3.14265917555356E-01, -1.11501832731563E-02
 1.96203011690034E+03,  1.99998206490086E-01, -1.41419185493822E-02
 1.96203285480037E+03,  3.77686672742860E-02, -1.67739157385166E-02
 1.96203559270040E+03, -1.24568857690341E-01, -2.05050460891174E-02
 1.96203833060043E+03, -2.48868441212906E-01, -2.60092431542641E-02
 1.96204106850046E+03, -3.16367452351800E-01, -3.23733832888831E-02
 1.96204380640049E+03, -3.23591814458713E-01, -3.72993433379675E-02
 1.96204654430052E+03, -2.75763703046670E-01, -3.82178140388903E-02
 1.96204928220055E+03, -1.86352874924023E-01, -3.36267812948604E-02
 1.96205202010058E+03, -7.90807959139110E-02, -2.38693513045657E-02
 1.96205475800062E+03,  1.71045779564894E-02, -1.09396291156472E-02
 1.96205749590065E+03,  8.13176916862615E-02,  2.50185231948259E-03
 1.96206023380068E+03,  1.11314087587125E-01,  1.42591767372594E-02
 1.96206297170071E+03,  1.19914536932152E-01,  2.32157528482219E-02
 1.96206570960074E+03,  1.19429507533823E-01,  2.92147620512234E-02
 1.96206844750077E+03,  1.09180528446834E-01,  3.25305998344338E-02
 1.96207118540080E+03,  7.84518604300825E-02,  3.34588831065719E-02
 1.96207392330083E+03,  2.12311858573396E-02,  3.22991755297359E-02
 1.96207666120086E+03, -5.26057668671822E-02,  2.95672819127911E-02
 1.96207939910089E+03, -1.20139298476770E-01,  2.60504427336504E-02
 1.96208213700092E+03, -1.57869463409022E-01,  2.25050648408753E-02
 1.96208487490095E+03, -1.51420848112703E-01,  1.92074881097053E-02
 1.96208761280098E+03, -9.66256489445530E-02,  1.57845029279688E-02
