t,I,I_model,Manifold,Manifold_Empirical
1933.2500333,13.5353,5.869832560879494,-0.04021886943216897,-0.03613422
1933.3333333,3.9697,5.329081737713777,-0.04012407378181831,-0.03602009
1933.4166333,1.7117,4.844360492251592,-0.039823131888889446,-0.03590595
1933.5000333,-10.1619,7.548186079013391,-0.03944374567777907,-0.03579182
1933.5833333,-4.6508,11.136575563385463,-0.03920614307429314,-0.03567768
1933.6666333,-7.986,10.913604878754057,-0.03921879299345464,-0.03556355
1933.7500333,-11.629,13.29081714564079,0.09990454146841696,0.10300623
1933.8333333,-22.8103,7.175152487652236,0.09961497227738762,0.10289209
1933.9166333,-19.4533,5.347310904721798,0.099515083451087,0.10277796
1934.0000333,-11.8657,5.639236980805513,0.09953183578851901,0.10266382
1934.0833333,-6.8934,4.908555562303332,0.09948917724828671,0.10254969
1934.1666333,-20.8443,2.2455259386645947,0.09930077410085839,0.10243555
1934.2500333,-27.103,0.4583303691531109,0.09906421116219755,0.1023845
1934.3333333,-13.977,0.28334561823739257,0.09896141991554479,0.10227036
1934.4166333,-19.8511,0.46031871778803524,0.0990647749114709,0.10215623
1934.5000333,-25.4177,1.6724475542267294,0.09924657422557837,0.10204209
1934.5833333,-11.5227,2.086619102193466,0.09928658993206103,0.10192796
1934.6666333,-14.4738,0.5036231270269962,0.09907635311582345,0.10181382
1934.7500333,-12.656,-21.789356128265396,0.021160914809779115,0.02022557
1934.8333333,-2.4534,-13.551791142165628,0.020871017822114788,0.02011144
1934.9166333,0.0568,-10.514074804691619,0.020771128995813758,0.0199973
1935.0000333,6.8745,-11.025109019731474,0.020787881333245797,0.01988317
1935.0833333,11.5384,-9.724047144538371,0.02074522279301378,0.01976903
1935.1666333,2.433,-4.086399559489665,0.02055681964558529,0.0196549
1935.2500333,8.4044,2.2746490869570413,0.02032025670692434,0.0194309
1935.3333333,7.3758,4.629705158148971,0.020217465460271825,0.01931677
1935.4166333,1.7318,2.2609465620591336,0.020320820456197538,0.01920263
1935.5000333,3.0107,-2.5358584778940525,0.02050261977030496,0.0190885
1935.5833333,21.0589,-3.6764059192259055,0.020542635476788126,0.01897436
1935.6666333,12.2609,1.9777383448210166,0.02033239866058402,0.01886023
1935.7500333,13.7704,8.248273422261036,0.1020169039848952,0.10081173
1935.8333333,9.3569,15.21327084107376,0.10172737516507438,0.1006976
1935.9166333,13.5587,17.51187321015126,0.1016274863387736,0.10058347
1936.0000333,15.2219,17.1348874191063,0.10164423867620567,0.10046933
1936.0833333,10.1928,18.086845826488563,0.1016015801359735,0.1003552
1936.1666333,5.0868,21.895439669322737,0.1014131769885453,0.10024106
1936.2500333,10.1344,25.399934663988915,0.10117661404988441,0.10019601
1936.3333333,6.8744,26.36398000229504,0.10107382280323146,0.10008187
1936.4166333,2.5374,25.393645811652494,0.1011771777991574,0.09996774
1936.5000333,1.431,22.840986679690488,0.1013589771132649,0.0998536
1936.5833333,-11.4446,22.15025046477458,0.10139899281974779,0.09973947
1936.6666333,-24.9356,25.262137420160446,0.10118875600360164,0.09962533
1936.7500333,-21.7345,20.499496559161738,0.10148658018923253,0.10258122
1936.8333333,-30.3025,25.169946892291122,0.1011966478380795,0.10246708
1936.9166333,-30.7937,26.18092363451933,0.10109675901177893,0.10235295
1937.0000333,-21.4389,26.035433133818874,0.10111351134921095,0.10223882
1937.0833333,-15.1609,26.38630909176734,0.10107085280897861,0.10212468
1937.1666333,-15.0369,27.140660124187683,0.10088244966155024,0.10201055
1937.2500333,-19.8361,26.221280230343694,0.10064588672288942,0.10179377
1937.3333333,-20.866,25.2056027229904,0.10054309547623672,0.10167964
1937.4166333,-20.6652,26.225868607778253,0.10064645047216288,0.1015655
1937.5000333,-21.0031,27.11224193969558,0.10082824978627034,0.10145137
1937.5833333,-16.4947,27.143861339189367,0.10086826549275293,0.10133723
1937.6666333,2.1675,26.31766489644361,0.1006580286765006,0.1012231
1937.7500333,26.5987,25.255729298941095,0.005539833400490253,0.01084497
1937.8333333,33.4146,26.047308919625728,0.005250128498799399,0.01073083
1937.9166333,42.9997,26.404932669338574,0.005150239672498426,0.0106167
1938.0000333,53.3538,26.342773140826015,0.0051669920099304744,0.01050256
1938.0833333,47.4003,26.50247648942969,0.0051243334696984165,0.01038843
1938.1666333,45.0621,27.239099309959833,0.004935930322269889,0.0102743
1938.2500333,38.2622,28.09308017904616,0.004699367383608953,0.01026747
1938.3333333,37.0778,28.377914802882678,0.004596576136956501,0.01015334
1938.4166333,30.2779,28.091326857582253,0.004699931132882267,0.0100392
1938.5000333,20.4009,27.449537077405274,0.004881730446989675,0.00992507
1938.5833333,21.9086,27.294594534938277,0.004921746153472771,0.00981094
1938.6666333,21.0316,28.054911050629535,0.004711509337309564,0.0096968
1938.7500333,9.1545,-24.17231846354428,0.10771034257122176,0.10952646
1938.8333333,-13.4918,-17.24682912495049,0.10742071766600289,0.10941233
1938.9166333,-14.9844,-14.766844431743287,0.10732082883970216,0.10929819
1939.0000333,-14.1694,-15.182953370486324,0.10733758117713425,0.10918406
1939.0833333,-19.8159,-14.12398377392135,0.10729492263690203,0.10906992
1939.1666333,-23.5393,-9.519371871737537,0.10710651948947379,0.10895579
1939.2500333,-28.8784,-4.113939339791469,0.10686995655081293,0.1088366
1939.3333333,-47.9866,-1.9599840052041564,0.10676716530416003,0.10872247
1939.4166333,-54.0179,-4.126115748981924,0.10687052030008602,0.10860833
1939.5000333,-51.2033,-8.23436822564439,0.10705231961419351,0.1084942
1939.5833333,-57.0039,-9.180871948840045,0.10709233532067632,0.10838006
1939.6666333,-62.3431,-4.377031460630803,0.10688209850443112,0.10826593
1939.7500333,-75.7594,-43.45691008229311,-0.017283086800445678,-0.01943258
1939.8333333,-75.0987,-41.677337144279406,-0.017375385419786917,-0.01931845
1939.9166333,-73.515,-43.552915285258976,-0.01727768734908444,-0.01920431
1940.0000333,-73.5469,-46.54212425068377,-0.01706334811464943,-0.01909018
1940.0833333,-67.5017,-47.59820308355747,-0.016908419757878837,-0.01897604
1940.1666333,-56.6874,-47.629758764585404,-0.016899236008304258,-0.01886191
1940.2500333,-52.181,-47.47162563471518,-0.016938212049962095,-0.01877713
1940.3333333,-59.2898,-47.74553701071187,-0.016843416399611753,-0.018663
1940.4166333,-35.3988,-46.143176872933616,-0.016542474506683166,-0.01854886
1940.5000333,-30.1233,-39.42150092510448,-0.01616308829557274,-0.01843473
1940.5833333,-35.4631,-33.402054046411095,-0.01592548569208644,-0.01832059
1940.6666333,-26.726,-33.74343492037625,-0.015938135611260455,-0.01820646
1940.7500333,-28.6815,-31.15867058553252,0.06763483620336379,0.06513471
1940.8333333,-25.1753,-30.248479506320372,0.0673452290311235,0.06502058
1940.9166333,-22.823,-30.041830416948713,0.06724534020482259,0.06490644
1941.0000333,-15.5479,-30.073754651951766,0.06726209254225465,0.06479231
1941.0833333,-16.888,-29.994322737800495,0.06721943400202256,0.06467817
1941.1666333,-15.0744,-29.696589556027085,0.067031030854594,0.06456404
1941.2500333,-22.2609,-29.352114299111484,0.06679446791593309,0.06447738
1941.3333333,-31.9859,-29.182507189283534,0.0666916766692807,0.06436324
1941.4166333,-20.2493,-29.35299303425213,0.06679503166520653,0.06424911
1941.5000333,-22.6668,-29.619178408722448,0.06697683097931394,0.06413497
1941.5833333,-35.2381,-29.676201848860778,0.06701684668579697,0.06402084
1941.6666333,-43.9632,-29.370934598293342,0.06680660986959831,0.0639067
1941.7500333,-52.0732,-15.310553925581258,-0.019274777489055615,-0.01836637
1941.8333333,-49.6446,-16.59268809319884,-0.01936715150547941,-0.01825223
1941.9166333,-42.9853,-15.242625652352496,-0.01926945343477711,-0.0181381
1942.0000333,-32.7878,-13.16078002164814,-0.01905511420034213,-0.01802396
1942.0833333,-36.2824,-12.581476234159886,-0.01890018584357141,-0.01790983
1942.1666333,-34.1618,-12.574234352785922,-0.018891002093996714,-0.0177957
1942.2500333,-36.7336,-12.626343295109512,-0.018929978135654595,-0.01771105
1942.3333333,-36.1516,-12.597862990878049,-0.01883518248530445,-0.01759691
1942.4166333,-26.8772,-14.755637962268501,-0.018534240592375423,-0.01748278
1942.5000333,-28.0646,-21.871678627341296,-0.018154854381264966,-0.01736864
1942.5833333,-30.6366,-27.962867341067323,-0.017917251777779246,-0.01725451
1942.6666333,-8.4393,-27.622769485032872,-0.01792990169700327,-0.01714037
1942.7500333,7.9116,6.777180083706116,0.08345736472080949,0.08696692
1942.8333333,22.1856,6.247980579297362,0.0831678897446208,0.08685278
1942.9166333,31.9211,6.380094967687952,0.08306800091832037,0.08673865
1943.0000333,39.0411,6.346128711260713,0.0830847532557524,0.08662451
1943.0833333,41.5457,6.441964812460791,0.08304209471551997,0.08651038
1943.1666333,45.1273,7.222499747329558,0.08285369156809154,0.08639624
1943.2500333,47.0163,8.910039977978439,0.08261712862943074,0.0863693
1943.3333333,31.9823,9.813656222957752,0.08251433738277816,0.08625517
1943.4166333,19.2559,8.905297871302214,0.08261769237870382,0.08614103
1943.5000333,16.6832,7.547564604135516,0.08279949169281126,0.0860269
1943.5833333,24.4183,7.303541401749203,0.0828395073992945,0.08591277
1943.6666333,35.2303,8.808512110184191,0.08262927058311303,0.08579863
1943.7500333,25.1959,-3.202847829400101,0.04425872495593764,0.0436329
1943.8333333,26.4692,-0.8417915577370843,0.04396884500722514,0.04351877
1943.9166333,28.7425,0.3997457900243573,0.043868956180924276,0.04340463
1944.0000333,27.3233,0.178101643905193,0.043885708518356346,0.0432905
1944.0833333,20.9812,0.7525193284335758,0.04384304997812421,0.04317636
1944.1666333,9.562,3.635909362911444,0.0436546468306956,0.04306223
1944.2500333,11.9119,7.783698818268286,0.04341808389203469,0.04283203
1944.3333333,12.8772,9.65280837164871,0.043315292645382364,0.04271789
1944.4166333,20.304,7.773470185307522,0.04341864764130824,0.04260376
1944.5000333,22.423,4.549089794509836,0.04360044695541563,0.04248962
1944.5833333,10.0035,3.8719587976552035,0.04364046266189858,0.04237549
1944.6666333,-0.6468,7.563554740907182,0.043430225845644134,0.04226135
1944.7500333,-3.2203,20.7538333158853,-0.027658129595882472,-0.02922327
1944.8333333,0.437,20.92608778773237,-0.027750307931687396,-0.02910913
1944.9166333,2.7866,20.73606675558741,-0.027652609860985035,-0.028995
1945.0000333,8.5975,19.471962115266805,-0.02743827062655005,-0.02888086
1945.0833333,16.1777,17.993284564128196,-0.02728334226977937,-0.02876673
1945.1666333,18.6809,17.894579733225946,-0.027274158520204712,-0.0286526
1945.2500333,25.4147,18.305996791667777,-0.027313134561862577,-0.02846998
1945.3333333,24.3794,17.273713739266746,-0.027218338911512364,-0.02835585
1945.4166333,25.8824,13.58799589254779,-0.026917397018583287,-0.02824171
1945.5000333,29.9238,9.361341526297862,-0.02653801080747284,-0.02812758
1945.5833333,42.8113,7.606155732042055,-0.02630040820398719,-0.02801344
1945.6666333,45.3911,7.677381101831626,-0.026313058123120514,-0.02789931
1945.7500333,48.9708,27.030429191105885,0.05139211888622102,0.0516685
1945.8333333,43.6274,22.789730292399664,0.051102405232402545,0.05155436
1945.9166333,44.3609,21.809514922010056,0.05100251640610151,0.05144023
1946.0000333,42.325,21.954336798094793,0.051019268743533554,0.0513261
1946.0833333,39.9814,21.601530969064616,0.05097661020330154,0.05121196
1946.1666333,32.4071,20.692284599941374,0.05078820705587306,0.05109783
1946.2500333,34.294,21.07392695064724,0.05055164411721211,0.05095379
1946.3333333,15.1042,21.740935076311544,0.05044885287055959,0.05083965
1946.4166333,-8.4704,21.071065368875875,0.0505522078664853,0.05072552
1946.5000333,-35.5836,20.631129679803568,0.05073400718059272,0.05061138
1946.5833333,-57.1582,20.667594333873517,0.050774022887075894,0.05049725
1946.6666333,-80.1175,21.01427618375524,0.05056378607084785,0.05038311
1946.7500333,-80.0771,-53.211295281850745,-0.05995026709700829,-0.05855822
1946.8333333,-90.7288,-50.385444013827474,-0.06004252265920847,-0.05844408
1946.9166333,-95.3806,-53.3715420383953,-0.05994482458850628,-0.05832995
1947.0000333,-99.3403,-58.971472405031044,-0.05973048535407122,-0.05821581
1947.0833333,-100.531,-61.97198547644511,-0.05957555699730041,-0.05810168
1947.1666333,-112.875,-62.11789783795762,-0.05956637324772563,-0.05798754
1947.2500333,-113.604,-61.47305402625282,-0.05960534928938354,-0.05784105
1947.3333333,-120.102,-62.92275239914944,-0.05951055363903352,-0.05772691
1947.4166333,-97.6775,-64.65849739668462,-0.05920961174610461,-0.05761278
1947.5000333,-76.4067,-60.322270968447455,-0.05883022553499413,-0.05749864
1947.5833333,-57.2128,-54.27956349627186,-0.05859262293150826,-0.05738451
1947.6666333,-48.4805,-54.6546210810224,-0.05860527285067977,-0.05727037
