1, 0, 0, -0.069773654, 10.85480273
1, 0, 1, -0.165556146, 2.011011515
0, 2, 2, 0.168923604, -7.134136981
0, -2, 2, -0.029491179, -2.254488617
0, 0, 2, 0.044448361, 2.746038084
2, 0, 1, -0.168212174, 1.192790581
2, 0, 0, -0.135649577, 1.644376431
2, 0, 2, 0.081446823, 5.9122828
1, -1, 0, 0.066285585, -2.308548976
2, -2, 0, 0.025148641, -2.045428034
0, 0, 1, 0.147128397, 0.850182553
2, 2, 2, -0.081763296, 8.425162601
1, 1, 0, 0.073201644, -1.945938858
0, 2, 0, 0.035076596, -0.121419152
2, -1, 1, -0.024926119, -2.555258046
0, 2, 1, 0.03094909, 6.242159295
1, -1, 1, 0.022519748, 8.686173846
1, -1, -1, -0.057192167, -3.008816398
0, 1, 1, -0.104016874, 3.009674229
0, 1, -1, -0.076708429, -5.087619127
0, -1, 0, 0.328244789, 5.120043931
0, -2, 1, 0.113064294, 2.388837115
1, -1, 2, -0.100235357, -5.781771283
2, 2, 1, -0.03333591, 3.005269286
1, 2, 1, 0.076579649, -0.913008627
2, -2, 1, -0.048655647, -0.924706857
1, -2, 1, -0.025914814, -4.733165398
