1908.5000  -45.6940
1908.5833  -34.5946
1908.6667  -18.6620
1908.7500  -5.3129
1908.8333  5.3695
1908.9167  6.3017
1909.0000  3.4837
1909.0833  2.7907
1909.1667  2.5558
1909.2500  4.6125
1909.3333  7.7107
1909.4167  12.1421
1909.5000  12.0734
1909.5833  11.9974
1909.6667  8.0463
1909.7500  5.9703
1909.8333  2.7276
1909.9167  1.9016
1910.0000  2.3256
1910.0833  4.7079
1910.1667  1.4235
1910.2500  -3.0691
1910.3333  -6.1868
1910.4167  -9.9295
1910.5000  -10.0472
1910.5833  -12.5399
1910.6667  -8.5742
1910.7500  -6.6503
1910.8333  -2.1846
1910.9167  1.5727
1911.0000  6.4550
1911.0833  6.5457
1911.1667  10.2196
1911.2500  13.8520
1911.3333  17.1093
1911.4167  20.7416
1911.5000  24.2906
1911.5833  22.2562
1911.6667  17.1385
1911.7500  14.4792
1911.8333  3.4448
1911.9167  -1.4229
1912.0000  -7.2906
1912.0833  -9.1166
1912.1667  -8.8593
1912.2500  -10.4353
1912.3333  -12.2613
1912.4167  -16.2540
1912.5000  -15.4550
1912.5833  -9.2810
1912.6667  -8.4404
1912.7500  -6.1414
1912.8333  -4.1341
1912.9167  -3.3768
1913.0000  -0.3695
1913.0833  2.6795
1913.1667  3.7702
1913.2500  7.7358
1913.3333  10.8265
1913.4167  17.1254
1913.5000  11.6327
1913.5833  10.0984
1913.6667  11.3974
1913.7500  7.9880
1913.8333  9.9120
1913.9167  14.6276
1914.0000  14.5933
1914.0833  12.8506
1914.1667  10.6913
1914.2500  8.6986
1914.3333  8.1642
1914.4167  9.1715
1914.5000  19.8455
1914.5833  24.1028
1914.6667  29.6518
1914.7500  39.7424
1914.8333  47.2498
1914.9167  49.3404
1915.0000  50.0144
1915.0833  51.2717
1915.1667  51.1540
1915.2500  49.2863
1915.3333  49.5020
1915.4167  44.4260
1915.5000  36.2666
1915.5833  33.5656
1915.6667  27.6562
1915.7500  20.9135
1915.8333  18.6292
1915.9167  12.3865
1916.0000  10.5605
1916.0833  8.6928
1916.1667  8.5334
1916.2500  7.1658
1916.3333  2.9231
1916.4167  0.4304
1916.5000  -3.6456
1916.5833  -14.4717
1916.6667  -22.1727
1916.7500  -21.3320
1916.8333  -27.4914
1916.9167  -26.7757
1917.0000  -25.4351
1917.0833  -26.8861
1917.1667  -29.2538
1917.2500  -29.5798
1917.3333  -33.2808
1917.4167  -35.4402
1917.5000  -39.0579
1917.5833  -34.2172
1917.6667  -29.4182
1917.7500  -32.6193
1917.8333  -24.9036
1917.9167  -18.7296
1918.0000  -16.4307
1918.0833  -13.0067
1918.1667  -7.9160
1918.2500  -4.2421
1918.3333  2.0986
1918.4167  6.6476
1918.5000  15.3216
1918.5833  17.2455
1918.6667  18.0028
1918.7500  18.3435
1918.8333  13.9341
1918.9167  7.4415
1919.0000  3.5321
1919.0833  1.2061
1919.1667  -0.2033
1919.2500  -1.8626
1919.3333  -1.4803
1919.4167  -2.9730
1919.5000  -3.2574
1919.5833  -2.1667
1919.6667  -1.7011
1919.7500  -1.6521
1919.8333  -2.5198
1919.9167  -4.0958
1920.0000  -2.3385
1920.0833  1.6688
1920.1667  2.6762
1920.2500  1.9335
1920.3333  1.8574
1920.4167  4.2398
1920.5000  6.9554
1920.5833  6.5461
1920.6667  14.0534
1920.7500  16.7273
1920.8333  17.9013
1920.9167  20.6170
1921.0000  25.9576
1921.0833  26.5066
1921.1667  26.5972
1921.2500  30.4379
1921.3333  30.7785
1921.4167  31.3275
1921.5000  30.0015
1921.5833  33.0088
1921.6667  33.0161
1921.7500  35.1484
1921.8333  37.1141
1921.9167  39.5381
1922.0000  34.4204
1922.0833  28.2194
1922.1667  24.6850
1922.2500  21.5673
1922.3333  20.0330
1922.4167  19.9153
1922.5000  17.4226
1922.5833  12.6382
1922.6667  3.1872
1922.7500  -3.8888
1922.8333  -5.8398
1922.9167  -7.4992
1923.0000  -8.7002
1923.0833  -6.2345
1923.1667  -4.9772
1923.2500  -7.1366
1923.3333  -5.8793
1923.4167  -8.4136
1923.5000  -9.1980
1923.5833  -9.4823
1923.6667  -7.5584
1923.7500  -7.1344
