 1.88050000000000E+03,  4.16443628941031E-02, -1.43930000000000E+01, -3.50898182149648E-02,  1.00000000000000E-02,  3.23038487314055E+05,  1.12024085600644E+06
 1.88058330000000E+03,  1.25516424791445E+00, -2.60140000000000E+00, -3.49866642005337E-02,  1.90000000000000E-01,  3.53071864043348E+05,  1.11886008242751E+06
 1.88066670000000E+03,  2.30016434861237E+00, -8.39300000000000E+00, -3.48835101861025E-02,  3.70000000000000E-01,  4.92047246925528E+05,  1.11152276905561E+06
 1.88075000000000E+03,  8.90559956272357E-01, -4.51800000000000E+00, -3.47803561716714E-02,  5.50000000000000E-01,  6.31513565999670E+05,  1.10340563351888E+06
 1.88083330000000E+03, -3.26969953278232E+00, -5.26800000000000E+00, -3.46772021572403E-02,  7.30000000000000E-01,  8.26096488046366E+05,  1.09095855134261E+06
 1.88091670000000E+03, -1.02388933772950E+01, -6.35140000000000E+00, -2.57581161596590E-02,  9.10000000000000E-01,  1.07596934470205E+06,  1.07313450187034E+06
 1.88100000000000E+03, -1.57621618708394E+01, -9.30970000000000E+00, -2.56549621452279E-02,  1.09000000000000E+00,  1.38090139631506E+06,  1.04871739351138E+06
 1.88108330000000E+03, -1.94836734009931E+01, -1.50180000000000E+01, -2.55518081307968E-02,  1.27000000000000E+00,  1.74000862610486E+06,  1.01642195761094E+06
 1.88116670000000E+03, -2.10551851314113E+01, -9.60140000000000E+00, -2.54486541163657E-02,  1.45000000000000E+00,  2.15153347789350E+06,  9.75020880148672E+05
 1.88125000000000E+03, -2.23627516336213E+01, -9.64300000000000E+00, -2.53455001019346E-02,  1.63000000000000E+00,  2.61268969823679E+06,  9.23499183319720E+05
 1.88133330000000E+03, -2.33212092605529E+01, -1.67264000000000E+01, -2.52423460875034E-02,  1.81000000000000E+00,  3.11960440415518E+06,  8.61233567665096E+05
 1.88141670000000E+03, -2.41732967729044E+01, -7.10140000000000E+00, -2.53083744220454E-02,  1.99000000000000E+00,  3.66738190342356E+06,  7.88191524456045E+05
